A_07_P058811	ECs1999
A_07_P020937	b0363
A_07_P020871	b1648
A_07_P040020	c_4525
A_07_P054929	ECs2473
A_07_P049826	Z5139
A_07_P060731	ECs1534
A_07_P001743	b1108
A_07_P005268	b0964
A_07_P054424	ECs2164
A_07_P034670	c_4309
A_07_P030803	c_0360
A_07_P046333	Z0894
A_07_P061498	ECs5048
A_07_P017965	b3387
A_07_P005677	b3751
A_07_P011983	b2969
A_07_P020702	b1614
A_07_P047006	Z5367
A_07_P013789	b2300
A_07_P049649	Z5102
A_07_P047590	Z5949
A_07_P054633	ECs2214
A_07_P058346	ECs1799
A_07_P004688	b0847
A_07_P051576	Z1501
A_07_P031861	c_2503
A_07_P037557	c_5021
A_07_P062907	ECs0194
A_07_P031124	c_0521
A_07_P019799	b2579
A_07_P036378	c_3640
A_07_P012561	b3217
A_07_P005789	b3781
A_07_P037462	c_4972
A_07_P046950	Z1185
A_07_P039092	c_4720
A_07_P033238	c_3609
A_07_P007737	b3562
A_07_P044473	Z2820
A_07_P054551	ECs2197
A_07_P037159	c_5378
A_07_P011931	b2958
A_07_P040032	c_4528
A_07_P052921	ECs2987
A_07_P056021	ECs3592
A_07_P011542	b4162
A_07_P054951	ECs2495
A_07_P049994	Z5329
A_07_P019306	b3906
A_07_P019227	b3890
A_07_P037087	c_5348
A_07_P010077	b0712
A_07_P034686	c_4313
A_07_P045693	Z4273
A_07_P037031	c_5303
A_07_P042845	Z3767
A_07_P054174	ECs0604
A_07_P004893	b0889
A_07_P043233	Z4091
A_07_P055835	ECs2950
A_07_P045584	Z4191
A_07_P016779	b0604
A_07_P049535	Z5028
A_07_P011208	b4094
A_07_P045859	Z4400
A_07_P051146	Z1353
A_07_P061371	ECs4983
A_07_P051786	Z3508
A_07_P017818	b3358
A_07_P004054	b4305
A_07_P013136	b2416
A_07_P032255	c_2695
A_07_P020852	b1644
A_07_P019305	b3905
A_07_P046853	Z1163
A_07_P032067	c_2589
A_07_P043188	Z4069
A_07_P051740	ABH-0285236
A_07_P001283	b1010
A_07_P018272	b3451
A_07_P055581	ECs2835
A_07_P000905	b2223
A_07_P057721	ECs4671
A_07_P011333	b4119
A_07_P036541	c_3672
A_07_P051326	Z1434
A_07_P056231	ECs3729
A_07_P060206	ECs4504
A_07_P056560	ECs0694
A_07_P039598	c_4359
A_07_P043462	Z0325
A_07_P017610	b4385
A_07_P015892	b1843
A_07_P020256	b1522
A_07_P011601	b4177
A_07_P059612	ECs0231
A_07_P015985	b1861
A_07_P046176	Z4858
A_07_P034116	c_3917
A_07_P014047	b2353
A_07_P060575	ECs1420
A_07_P012573	b3220
A_07_P011872	b2946
A_07_P031986	c_2557
A_07_P060612	ECs1507
A_07_P046451	Z0965
A_07_P062059	ECs1186
A_07_P048560	Z2274
A_07_P002719	b0151
A_07_P045638	Z4224
A_07_P008634	b3994
A_07_P006266	b2857
A_07_P030788	c_0355
A_07_P045517	Z3473
A_07_P012599	b3225
A_07_P032665	c_3385
A_07_P037103	c_5352
A_07_P044393	Z2594
A_07_P042427	c_2323
A_07_P063373	ECs3306
A_07_P062415	ECs1279
A_07_P036626	c_3691
A_07_P030630	c_3271
A_07_P033227	c_3605
A_07_P057474	ECs4571
A_07_P033519	c_0931
A_07_P031201	c_0596
A_07_P034071	c_3871
A_07_P052735	Z4001
A_07_P004990	b0908
A_07_P042915	Z3844
A_07_P017550	b4373
A_07_P030870	c_0391
A_07_P000206	b3096
A_07_P045241	Z3312
A_07_P038214	c_1478
A_07_P030931	c_0413
A_07_P057942	ECs4912
A_07_P030278	c_3148
A_07_P049376	Z4898
A_07_P057451	ECs4567
A_07_P030504	c_3204
A_07_P030595	c_3257
A_07_P013816	b2306
A_07_P045910	Z4488
A_07_P044486	Z2833
A_07_P063247	ECs2517
A_07_P010994	b0061
A_07_P031178	c_0570
A_07_P016974	b3606
A_07_P043851	Z0520
A_07_P043913	Z0635
A_07_P042878	Z3799
A_07_P034771	c_1810
A_07_P014888	b1382
A_07_P058997	ACA-0244190
A_07_P013474	b2483
A_07_P011390	b4130
A_07_P042718	Z3618
A_07_P009609	b1504
A_07_P011850	b2941
A_07_P048190	Z2318
A_07_P059680	ECs4014
A_07_P011045	b0071
A_07_P034044	c_3843
A_07_P037986	c_5191
A_07_P061195	ECs1648
A_07_P042419	c_2250
A_07_P037969	c_5187
A_07_P061649	ECs5248
A_07_P051241	Z1380
A_07_P006998	b1209
A_07_P037671	c_5061
A_07_P011439	b4141
A_07_P037042	c_5321
A_07_P036598	c_3684
A_07_P041992	c_4974
A_07_P030100	c_2993
A_07_P021099	b0397
A_07_P043011	Z3936
A_07_P057689	ECs4659
A_07_P053578	ECs0276
A_07_P030957	c_0426
A_07_P040507	c_1243
A_07_P056298	ECs3783
A_07_P033841	c_1052
A_07_P014069	b2357
A_07_P013941	b2331
A_07_P047511	Z5921
A_07_P052157	Z4774
A_07_P042898	Z3818
A_07_P033357	c_0765
A_07_P045765	Z4325
A_07_P006550	b2917
A_07_P018465	b1682
A_07_P019553	b2530
A_07_P038969	c_4581
A_07_P059457	ECs0136
A_07_P054128	ECs0549
A_07_P017937	b3382
A_07_P063454	ECs3774
A_07_P017950	b3384
A_07_P005980	b3822
A_07_P049525	Z5026
A_07_P002588	b0125
A_07_P007997	b0258
A_07_P059760	ECs4190
A_07_P030153	c_3027
A_07_P036422	c_3649
A_07_P046996	Z5346
A_07_P054279	ECs2069
A_07_P030859	c_0385
A_07_P004961	b0903
A_07_P034029	c_3831
A_07_P007585	b3530
A_07_P051667	Z1547
A_07_P040739	c_1296
A_07_P005826	b3790
A_07_P034924	c_1892
A_07_P013401	b2469
A_07_P048359	Z2387
A_07_P050550	Z1884
A_07_P017598	b4383
A_07_P052627	Z3252
A_07_P007934	b0245
A_07_P049733	Z5119
A_07_P056708	ECs0807
A_07_P003760	b4241
A_07_P006273	b2858
A_07_P014920	b1908
A_07_P011588	b4174
A_07_P031851	c_2501
A_07_P040089	c_4539
A_07_P040535	c_1248
A_07_P009955	b0687
A_07_P047053	Z5432
A_07_P021334	b0444
A_07_P059775	ECs4244
A_07_P003374	b2122
A_07_P050012	Z5335
A_07_P046137	Z4850
A_07_P043971	Z0702
A_07_P062208	ECs1219
A_07_P031846	c_2500
A_07_P015744	b1810
A_07_P050021	Z5339
A_07_P057935	ECs4899
A_07_P032290	c_2727
A_07_P000883	b2219
A_07_P031648	c_2450
A_07_P035397	c_2352
A_07_P020811	b1636
A_07_P012555	b3215
A_07_P053407	ECs3305
A_07_P014013	b2345
A_07_P061489	ECs5029
A_07_P005317	b0975
A_07_P058616	ECs1948
A_07_P051428	Z1464
A_07_P003199	b2085
A_07_P009499	b1482
